rule_key,nst_level,nst_code,nst_label,pad_category,pad_category_label,original_confidence,audit_tier,adjusted_confidence,audit_note,action
division|01|P05,division,01,"Products of agriculture, hunting, and forestry; fish and other fishing products",P05,Produits de pêche non dénommés ailleurs,0.3,TIER-B,0.5,P05 pertinent uniquement pour le sous-groupe peche (01.B). La division est trop large pour un seul PAD. Conserver comme candidat secondaire peche.,enrich_notes
division|01|T02,division,01,"Products of agriculture, hunting, and forestry; fish and other fishing products",T02,Marchandises générales,0.3,TIER-C,,T02 catch-all sans valeur discriminante au niveau division. Les groupes 01.x ont des règles plus précises. Reporter au profit des règles group-level.,defer
division|02|T07,division,02,Coal and lignite; crude petroleum and natural gas,T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.35,TIER-B,0.5,T07 pertinent pour le charbon (02.1) mais pas pour le pétrole (02.2) ni le gaz (02.3). Division trop hétérogène. Conserver comme candidat secondaire charbon.,enrich_notes
division|02|T11,division,02,Coal and lignite; crude petroleum and natural gas,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.45,TIER-B,0.55,T11 pertinent pour pétrole brut (02.2) mais pas pour charbon (02.1). Les groupes 02.x ont des règles plus précises. Conserver car le pétrole domine le trafic.,enrich_notes
division|03|T03,division,03,Metal ores and other mining and quarrying products; peat; uranium and thorium ores,T03,"Acides, sucres et matières premières",0.4,TIER-B,0.5,"T03 'matières premières' pertinent pour minerais (03.1, 03.2) mais la division inclut aussi sel (T10), sable (T07), phosphates (T08). Trop large.",enrich_notes
division|03|T08,division,03,Metal ores and other mining and quarrying products; peat; uranium and thorium ores,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.35,TIER-B,0.45,T08 pertinent pour phosphates (03.3) uniquement. Confidence baissée car secondaire au niveau division. Les groupes 03.x sont plus précis.,adjust_confidence
division|04|T02,division,04,"Food products, beverages and tobacco",T02,Marchandises générales,0.4,TIER-B,0.5,"T02 par défaut pour les denrées alimentaires transformées. Ambiguïté avec T01 (boissons alcoolisées), T05 (farines/céréales). Accepté comme candidat principal par défaut.",enrich_notes
division|04|T05,division,04,"Food products, beverages and tobacco",T05,"Céréales, ciment, riz et produits assimilés",0.35,TIER-C,,T05 pertinent uniquement pour le sous-groupe farines (04.6). Reporter au profit de la règle group-level 04.6→T05 qui est plus précise.,defer
division|05|T02,division,05,Textiles and textile products; leather and leather products,T02,Marchandises générales,0.3,TIER-C,,T02 catch-all sans justification forte pour les textiles. Les groupes 05.x pointent T12 (produits manufacturés) qui est plus pertinent. Reporter.,defer
division|05|T12,division,05,Textiles and textile products; leather and leather products,T12,Matériaux et produits manufacturés,0.4,TIER-B,0.55,T12 pertinent pour textiles et cuir manufacturés. Confidence acceptable au niveau division. Cohérent avec les règles group-level 05.x→T12.,keep_as_is
division|06|T04,division,06,"Wood and products of wood and cork; pulp, paper and paper products; printed matter and recorded media",T04,Bois et produits divers,0.45,TIER-A,0.75,"Match direct : label PAD T04 = 'Bois et produits divers'. Division 06 = bois, liège, papier. Le bois est explicitement dans le label T04.",keep_as_is
division|07|T11,division,07,Coke and refined petroleum products,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.5,TIER-A,0.75,"Match direct : label PAD T11 = 'Pétrole brut, essences, bitumes, hydrocarbures raffinés'. Division 07 = produits pétroliers raffinés. Correspondance explicite.",keep_as_is
division|08|T03,division,08,"Chemicals, chemical products, and man-made fibres; rubber and plastic products; nuclear fuel",T03,"Acides, sucres et matières premières",0.35,TIER-B,0.45,"T03 pertinent pour chimie de base (08.1) mais la division couvre aussi plastiques (T12), engrais (T08), pharma (T01). Confidence baissée car trop hétérogène.",adjust_confidence
division|08|T12,division,08,"Chemicals, chemical products, and man-made fibres; rubber and plastic products; nuclear fuel",T12,Matériaux et produits manufacturés,0.3,TIER-C,,"T12 secondaire au niveau division. Les groupes 08.x ont des règles plus précises (08.4→T03/T12, 08.6→T12). Reporter.",defer
division|09|T05,division,09,Other non-metallic mineral products,T05,"Céréales, ciment, riz et produits assimilés",0.35,TIER-B,0.45,T05 pertinent pour ciment fini (09.2) mais pas pour verre/céramique. Confidence baissée. Le conflit T05/T07 pour le ciment doit être résolu au group-level.,adjust_confidence
division|09|T07,division,09,Other non-metallic mineral products,T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.45,TIER-B,0.55,"T07 pertinent pour clinker, sable, matériaux de carrière. Plus large que T05 pour cette division. Conflit ciment/clinker documenté.",enrich_notes
division|10|T08,division,10,"Basic metals; fabricated metal products, except machinery and equipment",T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.3,TIER-C,,"T08 ferrailles uniquement pertinent comme sous-cas de la division 10. Trop marginal au niveau division. Reporter au profit des group-level (10.1→T14, 10.x→T12).",defer
division|10|T12,division,10,"Basic metals; fabricated metal products, except machinery and equipment",T12,Matériaux et produits manufacturés,0.35,TIER-B,0.5,T12 pertinent pour produits métalliques fabriqués (10.3-10.5). Accepté comme candidat secondaire derrière T14.,keep_as_is
division|10|T14,division,10,"Basic metals; fabricated metal products, except machinery and equipment",T14,Fil machine et feuillard,0.4,TIER-A,0.7,Match direct : label PAD T14 = 'Fil machine et feuillard'. Division 10 = métaux de base. Le fil machine est un produit de première transformation.,keep_as_is
division|11|T01,division,11,"Machinery and equipment n.e.c.; office machinery and computers; electrical machinery and apparatus n.e.c.; radio, television and communication equipment and apparatus; medical, precision and optical instruments; watches and clocks",T01,"Biens de valeur, électronique, informatique et mobilier",0.4,TIER-B,0.55,"T01 pertinent pour informatique et électronique (11.3-11.7) mais pas pour machines industrielles (11.1, 11.8). Division hétérogène.",enrich_notes
division|11|T09,division,11,"Machinery and equipment n.e.c.; office machinery and computers; electrical machinery and apparatus n.e.c.; radio, television and communication equipment and apparatus; medical, precision and optical instruments; watches and clocks",T09,"Tracteurs, véhicules industriels et matériel de transport",0.35,TIER-C,,T09 secondaire au niveau division. Pertinent uniquement pour machines agricoles (11.1). Reporter au profit de la règle group-level 11.1→T09.,defer
division|12|T09,division,12,Transport equipment,T09,"Tracteurs, véhicules industriels et matériel de transport",0.5,TIER-A,0.75,"Match direct : label PAD T09 = 'Tracteurs, véhicules industriels et matériel de transport'. Division 12 = matériel de transport.",keep_as_is
division|13|T01,division,13,Furniture; other manufactured goods n.e.c.,T01,"Biens de valeur, électronique, informatique et mobilier",0.4,TIER-A,0.7,Match direct : label PAD T01 mentionne 'mobilier'. Division 13 = meubles et autres produits manufacturés.,keep_as_is
division|13|T12,division,13,Furniture; other manufactured goods n.e.c.,T12,Matériaux et produits manufacturés,0.35,TIER-B,0.5,T12 pertinent pour 'autres produits manufacturés' (13.2). Candidat secondaire cohérent.,keep_as_is
division|14|T08,division,14,Secondary raw materials; municipal wastes and other wastes,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.4,TIER-B,0.5,T08 ferrailles pertinent pour matières premières secondaires mais pas pour déchets municipaux. Confidence baissée.,adjust_confidence
division|15|T13,division,15,"Mail, parcels",T13,Marchandises diverses en groupage,0.35,TIER-C,,Usage extrêmement rare en contexte portuaire Dakar. Le courrier/colis n'est pas un flux PAD standard. Reporter : pas de valeur opérationnelle.,defer
division|16|T09,division,16,Equipment and material utilised in the transport of goods,T09,"Tracteurs, véhicules industriels et matériel de transport",0.4,TIER-C,,Conteneurs en service vides : le droit de passage PAD n'est pas toujours applicable. Usage marginal. Reporter.,defer
division|17|T02,division,17,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non-market goods n.e.c.,T02,Marchandises générales,0.3,TIER-C,,Déménagements et bagages : usage extrêmement rare en maritime commercial Dakar. T02 catch-all sans valeur opérationnelle. Reporter.,defer
group|01.1|T05,group,01.1,Cereals,T05,"Céréales, ciment, riz et produits assimilés",0.6,TIER-A,0.85,"Match direct : label PAD T05 = 'Céréales, ciment, riz et produits assimilés'. Céréales explicitement nommées.",keep_as_is
group|01.2|T02,group,01.2,Potatoes,T02,Marchandises générales,0.4,TIER-B,0.5,Produit agricole frais sans catégorie PAD dédiée. T02 par défaut acceptable.,keep_as_is
group|01.3|T03,group,01.3,Sugar beet,T03,"Acides, sucres et matières premières",0.45,TIER-B,0.5,Betterave sucrière = matière première pour le sucre. T03 'sucres et matières premières' pertinent. Confidence baissée car betterave brute rare à Dakar.,adjust_confidence
group|01.4|T02,group,01.4,Other fresh fruit and vegetables,T02,Marchandises générales,0.4,TIER-B,0.5,Fruits/légumes frais : marchandises générales. Pas de PAD dédié. Acceptable.,keep_as_is
group|01.5|T04,group,01.5,Products of forestry and logging,T04,Bois et produits divers,0.55,TIER-A,0.8,Match direct : label PAD T04 = 'Bois et produits divers'. Produits forestiers = bois brut.,keep_as_is
group|01.6|T02,group,01.6,Live plants and flowers,T02,Marchandises générales,0.35,TIER-C,,"Plantes vivantes et fleurs : produit fragile, usage très rare à Dakar en maritime. T02 catch-all. Aucune valeur opérationnelle.",defer
group|01.7|T03,group,01.7,Other substances of vegetable origin,T03,"Acides, sucres et matières premières",0.4,TIER-B,0.55,"Matières premières végétales (coton brut, fibres). T03 'matières premières' pertinent.",keep_as_is
group|01.8|T02,group,01.8,Live animals,T02,Marchandises générales,0.35,TIER-C,,"Animaux vivants : transport spécialisé, très rare en conteneur maritime à Dakar. Reporter.",defer
group|01.9|T02,group,01.9,"Raw milk from bovine cattle, sheep and goats",T02,Marchandises générales,0.3,TIER-C,,Lait cru : produit réfrigéré périssable. Inexistant en import maritime Dakar. Retirer du manifeste.,remove
