quote_id,source,service_code,service_label,bloc,currency,amount_ht,qty,unit
QREF001,reference,FREIGHT_OCEAN,Fret maritime,TRANSPORT_INTERNATIONAL,XOF,1600000,1,shipment
QREF001,reference,THC_IMPORT,THC import,PORT_AIRPORT,XOF,220000,1,shipment
QREF001,reference,HANDLING,Manutention,HANDLING,XOF,130000,1,shipment
QREF001,reference,CUSTOMS_CLEAR,Dédouanement,CUSTOMS_CLEARANCE,XOF,150000,1,shipment
QREF001,reference,DUTIES_TAXES,Droits et taxes,CUSTOMS_DUTIES_TAXES,XOF,300000,1,shipment
QREF001,reference,FORWARDER_FEES,Honoraires transitaire,FORWARDER_FEES,XOF,100000,1,shipment
QAG001,agent,FREIGHT_OCEAN,Fret maritime,TRANSPORT_INTERNATIONAL,XOF,1580000,1,shipment
QAG001,agent,THC_IMPORT,THC import,PORT_AIRPORT,XOF,220000,1,shipment
QAG001,agent,HANDLING,Manutention,HANDLING,XOF,140000,1,shipment
QAG001,agent,CUSTOMS_CLEAR,Dédouanement,CUSTOMS_CLEARANCE,XOF,150000,1,shipment
QAG001,agent,DUTIES_TAXES,Droits et taxes,CUSTOMS_DUTIES_TAXES,XOF,300000,1,shipment
QAG001,agent,FORWARDER_FEES,Honoraires transitaire,FORWARDER_FEES,XOF,100000,1,shipment
QIA001,ia,FREIGHT_OCEAN,Fret maritime,TRANSPORT_INTERNATIONAL,XOF,1700000,1,shipment
QIA001,ia,THC_IMPORT,THC import,PORT_AIRPORT,XOF,200000,1,shipment
QIA001,ia,CUSTOMS_CLEAR,Dédouanement,CUSTOMS_CLEARANCE,XOF,150000,1,shipment
QIA001,ia,DUTIES_TAXES,Droits et taxes,CUSTOMS_DUTIES_TAXES,XOF,300000,1,shipment
QIA001,ia,FORWARDER_FEES,Honoraires transitaire,FORWARDER_FEES,XOF,100000,1,shipment
